,Symbol,ShortName,SocialCreditCode,CustomerFlag,full_name,customer_code
0,300396,迪瑞医疗,91220101605902656F,0,迪瑞医疗科技股份有限公司,b'NDMxMjkyNDcyOA=='
1,002355,兴民智通,91370600720751371J,0,兴民智通(集团)股份有限公司,b'NTM1MTc5NDYzNw=='
2,600249,两面针,914502001982303373,0,柳州两面针股份有限公司,b'NzcyMDM4MDY0MQ=='
3,002500,山西证券,91140000110013881E,0,山西证券股份有限公司,b'MzUxMTQ1NjYxMQ=='
4,000600,建投能源,91130100236018805C,0,河北建投能源投资股份有限公司,b'MzExMzY4OTk5NA=='
5,002370,亚太药业,91330000146008822C,0,浙江亚太药业股份有限公司,b'NTc1MjcxNjE4OQ=='
6,300251,光线传媒,91110000722604869A,0,北京光线传媒股份有限公司,b'MDEwMDIyMzQ1OQ=='
7,300463,迈克生物,9151000020186004X7,1,迈克生物股份有限公司,b'MDI4Njc3NTg5NA=='
8,300463,迈克生物,9151000020186004X7,1,迈克生物股份有限公司,b'MDEwMDAwMzA4Ng=='
9,300463,迈克生物,9151000020186004X7,1,四川迈克生物科技股份有限公司,b'MDI4NjUyNDMwMA=='
10,000686,东北证券,91220000664275090B,1,东北证券股份有限公司,b'MDEwMDAyMzcxOA=='
11,000686,东北证券,91220000664275090B,1,东北证券股份有限公司,b'MDEwMDAwMzYxNg=='
12,300249,依米康,91510100740327535Y,1,依米康科技集团股份有限公司,b'MDI5NDg3NjU2NA=='
13,300249,依米康,91510100740327535Y,1,四川依米康环境科技股份有限公司,b'NTMxMzM4NzU5NQ=='
14,300249,依米康,91510100740327535Y,1,依米康科技集团股份有限公司,b'MDIwMDA3MjIyNw=='
15,300249,依米康,91510100740327535Y,1,依米康科技集团股份有限公司,b'MDI4Njc4ODgzNA=='
16,300249,依米康,91510100740327535Y,1,依米康科技集团股份有限公司,b'MDEwMDAwNDIzOQ=='
17,300249,依米康,91510100740327535Y,1,四川依米康环境科技股份有限公司,b'MDI4Njc3MDQyNg=='
18,300550,和仁科技,91330100563023775L,1,浙江和仁科技股份有限公司,b'MDEwMDAwNTkxMQ=='
